Grid_Size,Solver,Time_Sec,Success,H_Max,Path_Len,Speedup
256,Euclidean,7.837063200000557,True,0.24705882352941178,640,1.0
256,HE-IBG,0.22738850000314415,True,0.2549019607843137,460,34.465521342953544
512,Euclidean,31.215013699998963,True,0.24705882352941178,1307,1.0
512,HE-IBG,0.9634755000006407,True,0.34901960784313724,1065,32.39834712971757
1024,Euclidean,57.79402790000313,True,0.24705882352941178,2673,1.0
1024,HE-IBG,1.5624274000001606,True,0.34901960784313724,2153,36.98989655455171
