DIJ_gap,DIJ_h_max,DIJ_success,DIJ_time,Grid_Size,HE_gap,HE_h_max,HE_success,HE_time,Image,K,Speedup_Dijkstra_vs_HE,h_star,kappa,lambda_geo
0.0,0.24705882352941178,True,0.09962520003318787,256,0.015873015873015817,0.25098039215686274,True,0.0712426999816671,,500000,1.3983916956940772,0.24705882352941178,-0.5,0.25
0.0,0.24705882352941178,True,0.09962520003318787,256,0.03174603174603163,0.2549019607843137,True,0.040467999991960824,,500000,2.4618266297563243,0.24705882352941178,-0.5,0.4
0.0,0.24705882352941178,True,0.09962520003318787,256,0.03174603174603163,0.2549019607843137,True,0.03903690003789961,,500000,2.5520776479808878,0.24705882352941178,-0.5,0.5
0.0,0.24705882352941178,True,0.09962520003318787,256,0.41269841269841256,0.34901960784313724,True,0.051261399989016354,,500000,1.943474038058545,0.24705882352941178,-0.5,0.7
0.0,0.24705882352941178,True,0.09962520003318787,256,0.03174603174603163,0.2549019607843137,True,0.04413519997615367,,500000,2.2572731082450184,0.24705882352941178,-0.75,0.25
0.0,0.24705882352941178,True,0.09962520003318787,256,0.03174603174603163,0.2549019607843137,True,0.04609840002376586,,500000,2.16114225183144,0.24705882352941178,-0.75,0.4
0.0,0.24705882352941178,True,0.09962520003318787,256,0.03174603174603163,0.2549019607843137,True,0.049224199960008264,,500000,2.02390694240084,0.24705882352941178,-0.75,0.5
0.0,0.24705882352941178,True,0.09962520003318787,256,0.06349206349206349,0.2627450980392157,True,0.04677899996750057,,500000,2.129699226199831,0.24705882352941178,-0.75,0.7
0.0,0.24705882352941178,True,0.09962520003318787,256,0.03174603174603163,0.2549019607843137,True,0.045998900022823364,,500000,2.1658170083144737,0.24705882352941178,-1.0,0.25
0.0,0.24705882352941178,True,0.09962520003318787,256,0.06349206349206349,0.2627450980392157,True,0.04161339998245239,,500000,2.3940653749801264,0.24705882352941178,-1.0,0.4
0.0,0.24705882352941178,True,0.09962520003318787,256,0.06349206349206349,0.2627450980392157,True,0.041542100021615624,,500000,2.398174381683878,0.24705882352941178,-1.0,0.5
0.0,0.24705882352941178,True,0.09962520003318787,256,0.06349206349206349,0.2627450980392157,True,0.04146279999986291,,500000,2.4027610299718605,0.24705882352941178,-1.0,0.7
0.0,0.24705882352941178,True,0.4814953000168316,512,0.015873015873015817,0.25098039215686274,True,0.16582829999970272,,500000,2.903577375017984,0.24705882352941178,-0.5,0.25
0.0,0.24705882352941178,True,0.4814953000168316,512,0.015873015873015817,0.25098039215686274,True,0.17061550001380965,,500000,2.8221076043961966,0.24705882352941178,-0.5,0.4
0.0,0.24705882352941178,True,0.4814953000168316,512,0.015873015873015817,0.25098039215686274,True,0.16940159996738657,,500000,2.8423302974088185,0.24705882352941178,-0.5,0.5
0.0,0.24705882352941178,True,0.4814953000168316,512,0.41269841269841256,0.34901960784313724,True,0.16807180002797395,,500000,2.8648190828960676,0.24705882352941178,-0.5,0.7
0.0,0.24705882352941178,True,0.4814953000168316,512,0.015873015873015817,0.25098039215686274,True,0.16582940000807866,,500000,2.903558114504272,0.24705882352941178,-0.75,0.25
0.0,0.24705882352941178,True,0.4814953000168316,512,0.41269841269841256,0.34901960784313724,True,0.3334366999915801,,500000,1.4440381038709604,0.24705882352941178,-0.75,0.4
0.0,0.24705882352941178,True,0.4814953000168316,512,0.41269841269841256,0.34901960784313724,True,0.21395780000602826,,500000,2.250421812167004,0.24705882352941178,-0.75,0.5
0.0,0.24705882352941178,True,0.4814953000168316,512,0.06349206349206349,0.2627450980392157,True,0.16893149999668822,,500000,2.8502398902884956,0.24705882352941178,-0.75,0.7
0.0,0.24705882352941178,True,0.4814953000168316,512,0.015873015873015817,0.25098039215686274,True,0.17446130001917481,,500000,2.759897467025129,0.24705882352941178,-1.0,0.25
0.0,0.24705882352941178,True,0.4814953000168316,512,0.41269841269841256,0.34901960784313724,True,0.16240640002069995,,500000,2.9647556990085446,0.24705882352941178,-1.0,0.4
0.0,0.24705882352941178,True,0.4814953000168316,512,0.06349206349206349,0.2627450980392157,True,0.17150960001163185,,500000,2.8073956209108784,0.24705882352941178,-1.0,0.5
0.0,0.24705882352941178,True,0.4814953000168316,512,0.0793650793650793,0.26666666666666666,True,0.1802789000212215,,500000,2.6708355773202106,0.24705882352941178,-1.0,0.7
0.0,0.24705882352941178,True,0.058986299962271005,256,0.015873015873015817,0.25098039215686274,True,0.0411104999948293,heightmap.png,500000,1.4348232196078872,0.24705882352941178,-0.5,0.25
0.0,0.24705882352941178,True,0.058986299962271005,256,0.03174603174603163,0.2549019607843137,True,0.028128000034485012,heightmap.png,500000,2.0970669756098417,0.24705882352941178,-0.5,0.35
0.0,0.24705882352941178,True,0.058986299962271005,256,0.03174603174603163,0.2549019607843137,True,0.026950999977998435,heightmap.png,500000,2.188649772194899,0.24705882352941178,-0.5,0.5
0.0,0.24705882352941178,True,0.058986299962271005,256,0.41269841269841256,0.34901960784313724,True,0.029281899973284453,heightmap.png,500000,2.0144287090690005,0.24705882352941178,-0.5,0.7
0.0,0.24705882352941178,True,0.058986299962271005,256,0.03174603174603163,0.2549019607843137,True,0.025384799984749407,heightmap.png,500000,2.3236858276491676,0.24705882352941178,-0.75,0.25
0.0,0.24705882352941178,True,0.058986299962271005,256,0.03174603174603163,0.2549019607843137,True,0.025737499992828816,heightmap.png,500000,2.291842641231908,0.24705882352941178,-0.75,0.35
0.0,0.24705882352941178,True,0.058986299962271005,256,0.03174603174603163,0.2549019607843137,True,0.029149999958463013,heightmap.png,500000,2.0235437408687105,0.24705882352941178,-0.75,0.5
