DIJ_h_max,DIJ_time,EUC_h_max,EUC_time,Error,Grid,Grid_Size,HE_h_max,HE_time,H_Max,H_Max_Euclidean,H_Max_HEIBG,Iterations,Path_Len,Peak_RAM_MB,Phase,Seed,Solver,Speedup_Dijkstra_vs_HE,Speedup_Euclidean_vs_HE,Speedup_Euclidean_vs_HEIBG,Success,Success_Euclidean,Success_HEIBG,Time_Euclidean,Time_HEIBG,Time_Sec,Type,h_star
,,,,,256,,,,0.6156865376112973,,,262144,648,6.215580940246582,,1,HE-IBG,,,,True,,,,,0.2521114000119269,Mining,
,,,,,256,,,,0.591716254160683,,,262144,841,6.026005744934082,,2,HE-IBG,,,,True,,,,,0.2863175999955274,Mining,
,,,,,256,,,,0.6597451157431717,,,262144,658,6.216687202453613,,3,HE-IBG,,,,True,,,,,0.30614240001887083,Mining,
,,,,,256,,,,0.6157798216821458,,,262144,599,6.211094856262207,,4,HE-IBG,,,,True,,,,,0.29200200000195764,Mining,
,,,,,256,,,,0.48974057545808874,,,262144,391,10.049238204956055,,4,Euclidean,,,,True,,,,,29.08126100001391,Terrain,
,,,,,256,,,,0.5904928765177235,,,262144,805,11.302282333374023,,1,Euclidean,,,,True,,,,,29.223065099999076,Mining,
,,,,,256,,,,0.6043184144336136,,,262144,687,11.262414932250977,,0,Euclidean,,,,True,,,,,29.325068199977977,Mining,
,,,,,256,,,,0.18313455519153032,,,223304,419,5.678661346435547,,0,HE-IBG,,,,True,,,,,0.20972400001483038,Maze,
,,,,,256,,,,0.5842397592338543,,,262144,770,11.268210411071777,,2,Euclidean,,,,True,,,,,29.483620399987558,Mining,
,,,,,256,,,,0.1880884590988628,,,223048,390,5.675151824951172,,1,HE-IBG,,,,True,,,,,0.18606330000329763,Maze,
,,,,,256,,,,0.18692780602732456,,,221268,428,5.679485321044922,,2,HE-IBG,,,,True,,,,,0.21255749999545515,Maze,
,,,,,256,,,,0.17374438401399275,,,223440,438,5.680400848388672,,3,HE-IBG,,,,True,,,,,0.2238331999978982,Maze,
,,,,,256,,,,0.1801030481418189,,,222500,437,5.680309295654297,,4,HE-IBG,,,,True,,,,,0.20775170001434162,Maze,
,,,,,256,,,,0.6013340180401042,,,262144,580,11.25682258605957,,3,Euclidean,,,,True,,,,,34.27037089999067,Mining,
,,,,,256,,,,0.1645496829455903,,,223048,800,10.9532470703125,,1,Euclidean,,,,True,,,,,29.85167280002497,Maze,
,,,,,256,,,,0.16540053500727428,,,223304,731,10.927170753479004,,0,Euclidean,,,,True,,,,,30.141011400002753,Maze,
,,,,,256,,,,0.5911296647067483,,,262144,1093,11.350010871887207,,4,Euclidean,,,,True,,,,,34.78658839999116,Mining,
,,,,,512,,,,0.5649278209739355,,,1048576,1026,20.934553146362305,,0,HE-IBG,,,,True,,,,,1.1888815999845974,Terrain,
